cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples,triage_bucket,triage_reason,next_gate
GENERAL_ONLY|PERSON_COUNT|NONE,14,GENERAL_ONLY,PERSON_COUNT,PERSON_COUNT,(none),NONE,after-school_sweets_club_(blue_archive);bisexual_male;blacked_male;cowgirl_(western);dark-skinned_male;giant_male;male_harem;male_yandere;mature_male;multiple_reverse_traps;other_with_male;short_male,BULK_CANDIDATE,ordinary_general_root_no_risk_signal,"run full adversarial scan, independent fixed review artifact, then fresh holdout before any promotion"
GENERAL_ONLY|CLOTHING/EVERYDAY|ADULT_ROLE_DEVICE,13,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),ADULT_ROLE_DEVICE,black_bodystocking;black_bustier;blue_bustier;brown_bodystocking;brown_bustier;fishnet_bodystocking;frilled_bustier;purple_bodystocking;red_bustier;sleeveless_bodystocking;thighband_bodystocking;white_bodystocking,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP/DAILY|RESTRAINT_FETISH,13,GENERAL_ONLY,OBJECT_PROP/DAILY,OBJECT_PROP,(none),RESTRAINT_FETISH,black_rope;blue_rope;green_rope;jump_rope;orange_rope;pink_rope;purple_rope;red_rope;rope;rope_ladder;shock_collar;white_rope,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|ANATOMY,13,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,ANATOMY,anus_cutout;breast_drop;bursting_breasts;clothes_between_breasts;clothes_between_exposed_breasts;covering_anus;covering_breasts;covering_crotch;crotch_cutout;nipple_cutout;partially_visible_vulva;pubic_hair_peek,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|RESTRAINT_IMPLEMENT|NONE,13,OVERLAP,OBJECT_PROP,OBJECT_PROP,RESTRAINT_IMPLEMENT,NONE,chastity_belt;chastity_cage;chastity_key;colored_chastity_cage;flat_chastity_cage;flogger;pillory;shackles;small_chastity_cage;spreader_bar;stocks;tube_chastity_cage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,13,OVERLAP,OBJECT_PROP,OBJECT_PROP,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,ball_gag;bit_gag;cleave_gag;dental_gag;gag;handcuffs;knot_gag;leash;plug_gag;stationary_restraints;whip;x-cross_(bdsm),BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|CLOTHING_EXPOSURE|ANATOMY,12,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,CLOTHING_EXPOSURE,ANATOMY,anal_ball_wear;breast_curtain_lift;breast_lift;breast_sucking_through_clothes;grabbed_breast_over_shoulder;head_between_breasts;nipple_tweak_through_clothes;penis_under_another's_clothes;spread_anus_under_clothes;spread_pussy_under_clothes;tail_between_breasts;tattoo_between_breasts,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|FLUID_STATE_ACTION|ANATOMY,12,OVERLAP,BODY_PART,BODY_PART,FLUID_STATE_ACTION,ANATOMY,anal_fluid;excessive_pussy_juice;pussy_juice;pussy_juice_drip;pussy_juice_drip_through_clothes;pussy_juice_in_mouth;pussy_juice_on_face;pussy_juice_on_fingers;pussy_juice_puddle;pussy_juice_stain;pussy_juice_trail;saliva_on_penis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,11,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,blindfold;bondage_outfit;colored_blindfold;gag_chinstrap;gag_harness;lace-trimmed_blindfold;linked_gag;over_the_mouth_gag;over_the_nose_gag;panty_gag;wiffle_gag,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|DAMAGE_STATE_ACTION|NONE,10,OVERLAP,BODY_PART,BODY_PART,DAMAGE_STATE_ACTION,NONE,bleeding;death;disembowelment;dismemberment;headless;intestines;mutilation;organs;severed_head;severed_limb,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|NONE,10,OVERLAP,OBJECT_PROP,OBJECT_PROP,IMPLEMENT_OBJECT,NONE,aneros;aphrodisiac;butt_plug;catheter;heart_butt_plug;hitachi_magic_wand;jewel_butt_plug;lotion;lotion_bottle;prostate_massager,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|POSE_MOVEMENT|POSE_COMPOSITION|NONE,10,OVERLAP,POSE_MOVEMENT,POSE_MOVEMENT,POSE_COMPOSITION,NONE,bent_over;legs_over_head;legs_up;on_side;presenting_own_body;spread_eagle_position;spread_legs;squatting_cowgirl_position;upright_straddle;uterus_pose,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|(none)|NONE,9,OVERLAP,BODY_PART,BODY_PART,(none),NONE,between_labia;dark_labia;glans;hymen;long_labia;precum_pool;shibari_marks;squirting_liquid;surprise_deepthroat,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|FLUID_STATE_ACTION|NONE,9,OVERLAP,BODY_PART,BODY_PART,FLUID_STATE_ACTION,NONE,fart;pee;pee_puddle;pee_stain;poop;precum;precum_drip;precum_string;saliva,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|NONHUMAN_INTERACTION|NONE,9,OVERLAP,BODY_PART,BODY_PART,NONHUMAN_INTERACTION,NONE,eyed_tentacle;mechanical_tentacles;mouth_tentacles;tentacle_legs;tentacle_tail;tentacle_tongue;tentacles;tentacles_as_hands;veiny_tentacles,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|(none)|ANATOMY,9,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,(none),ANATOMY,nipple_bells;nipple_jewelry;nipple_ribbon;nipple_sleeves;penis-shaped_jewelry;penis_earrings;penis_ornament;penis_ribbon;pussy_jewelry,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPOSURE_INTIMATE,8,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),EXPOSURE_INTIMATE,adjusting_bra;adjusting_panties;bra_on_head;hand_in_bra;hand_in_own_bra;hand_in_own_panties;hand_in_underwear;panties_cat's_cradle,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ANATOMY,8,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),ANATOMY,convenient_breasts;covering_another's_crotch;hair_over_breasts;hair_over_crotch;hair_over_one_breast;long_breast_curtain;necktie_between_breasts;see-through_breast_curtains,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP/DAILY|ADULT_ROLE_DEVICE,8,GENERAL_ONLY,OBJECT_PROP/DAILY,OBJECT_PROP,(none),ADULT_ROLE_DEVICE,condom_box;condom_packet_strip;condom_wrapper;laddered_bodystocking;multiple_condoms;okamoto_condoms;speculum;too_many_condoms,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|NONE,8,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,MULTI_ACTOR_INTERACTION,NONE,cooperative_pussyjob;gangbang;male_spitroast;oral_sandwich;orgy;reverse_spitroast;spitroast;teamwork_(sexual),BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|RESTRAINT_FETISH,8,OVERLAP,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,RESTRAINT_ACTION,RESTRAINT_FETISH,applying_gag;bondage;holding_gag;predicament_bondage;public_bondage;rope_walking;self_bondage;stealth_bondage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|SCENE_CONTEXT|NONE,8,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,SCENE_CONTEXT,NONE,caught;exhibitionism;glory_hole;nantaimori;nyotaimori;public_indecency;public_use;voyeurism,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY,7,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RESTRAINT_ACTION,ANATOMY,biting_penis;biting_testicles;bound_breasts;bound_penis;nipple_pull;nipple_torture;squeezing_testicles,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|BODY_STATE|ANATOMY,7,OVERLAP,BODY_PART,BODY_PART,BODY_STATE,ANATOMY,anal_prolapse;bite_mark_on_breast;breast_expansion;breast_freckles;breast_tattoo;mole_on_breast;mole_on_crotch,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|CLOTHING_EXPOSURE|ANATOMY,7,OVERLAP,BODY_PART,BODY_PART,CLOTHING_EXPOSURE,ANATOMY,breasts_apart;clitoris_peek;face_between_breasts;hanging_breasts;penis_sheath;sagging_breasts;unaligned_breasts,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,7,OVERLAP,BODY_PART,BODY_PART,CLOTHING_EXPOSURE,NONE,armpit_hair_peek;midriff;midriff_peek;navel_cutout;navel_peek;tanlines;thigh_cutout,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,6,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),INJURY,bath_of_blood;blood_sucking;drinking_blood;licking_blood;spitting_blood;wiping_blood,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP/VEHICLE|NONE,6,GENERAL_ONLY,OBJECT_PROP/VEHICLE,OBJECT_PROP,(none),NONE,double-decker_bus;exs-slave;one-eyed_mecha;one-finger_caress;ride-on_toy_car;vanity_table,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
OVERLAP|ACTION_CONTACT|(none)|RESTRAINT_FETISH,6,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),RESTRAINT_FETISH,belt_bondage;hair_bondage;ribbon_bondage;tail_bondage;tape_bondage;vine_bondage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|NONE,6,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,DIRECT_COMPOSITE,NONE,bulges_touching;female_on_futa;futa_on_male;male_on_futa;penises_touching;surrounded_by_penises,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|BODY_STATE|REPRO,6,OVERLAP,BODY_PART,BODY_PART,BODY_STATE,REPRO,fake_pregnancy;implied_male_pregnancy;male_pregnancy;multiple_pregnancy;pregnancy_halo;pregnancy_mark,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|NONE,6,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),NONE,convenient_tentacle;labia_slip;layered_sideboob;precum_through_clothes;revealing_chastity_cage;unworn_chastity_cage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|(none)|EXPOSURE_INTIMATE,6,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,(none),EXPOSURE_INTIMATE,cow_print_pasties;metal_pasties;rabbit_pasties;shell_pasties;star_maebari;tape_maebari,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
SPECIAL_ONLY|(none)|(none)|INJURY,6,SPECIAL_ONLY,(none),(none),(none),INJURY,amputation;blood_pool;gore;sexual_gore;snuff;vomiting_blood,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|RESTRAINT_FETISH,5,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,(none),RESTRAINT_FETISH,holding_collar;holding_jump_rope;holding_rope;holding_whip;swinging_on_rope,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|(none)|RELATION_ROLE_CONTEXT|NONE,5,OVERLAP,(none),(none),RELATION_ROLE_CONTEXT,NONE,inseki;race_fetishism;reverse_trap;toddlercon;you_gonna_get_raped,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RELATION_ROLE_CONTEXT|EXPLICIT_SEX,5,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RELATION_ROLE_CONTEXT,EXPLICIT_SEX,after_rape;assisted_rape;imminent_rape;implied_rape;rape,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|NONE,5,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RESTRAINT_IMPLEMENT,NONE,chastity_cage_emission;clitoral_circular_saw;hobble;holding_unworn_chastity_cage;torture_instruments,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,5,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,ball_and_chain_restraint;cloth_gag;leash_in_mouth;muzzle_gag;ring_gag,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|ACTION_INTERACTION|NONE,5,OVERLAP,BODY_PART,BODY_PART,ACTION_INTERACTION,NONE,gagging;tailjob;toe_sucking;torso_grab;vaginal,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|ANATOMY,5,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),ANATOMY,covered_anus;covered_clitoris;covered_testicles;nipples_out_of_frame;pubic_cutout,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|(none)|NONE,5,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,(none),NONE,gold_chastity_cage;labia_ring;spiked_cock_ring;tenga_suit;tribadism_through_clothes,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COMPOSITION_CAMERA|POSE_COMPOSITION|ANATOMY,5,OVERLAP,COMPOSITION_CAMERA,COMPOSITION_CAMERA,POSE_COMPOSITION,ANATOMY,breast_focus;crotch_focus;penis_focus;pov_crotch;pussy_focus,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|(none)|NONE,5,OVERLAP,OBJECT_PROP,OBJECT_PROP,(none),NONE,black_chastity_cage;chastity_cage_strap;mecha_on_girl;pee_pad;piss_bottle,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|OBJECT_PROP/WEAPON|RESTRAINT_FETISH,4,GENERAL_ONLY,OBJECT_PROP/WEAPON,OBJECT_PROP,(none),RESTRAINT_FETISH,black_whip_(boku_no_hero_academia);chain_whip;energy_whip;whip_sword,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|PERSON_COUNT|ADULT_ROLE_DEVICE,4,GENERAL_ONLY,PERSON_COUNT,PERSON_COUNT,(none),ADULT_ROLE_DEVICE,oiran;pornstar;stripper;stripper_pole,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|ACTION_CONTACT|BODY_ATTRIBUTE|ANATOMY,4,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,BODY_ATTRIBUTE,ANATOMY,penis_measuring;pussy_sandwich;spread_anus;spread_pussy,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|REPRO,4,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,FLUID_STATE_ACTION,REPRO,breastfeeding;forced_lactation;lactation;lactation_through_clothes,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|SELF_ACTION|NONE,4,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,SELF_ACTION,NONE,autocunnilingus;autofellatio;masturbating_while_watching;pillow_humping,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,4,OVERLAP,BODY_PART,BODY_PART,DIRECT_COMPOSITE,ANATOMY,bandaid_on_pussy;bandaids_on_nipples;mole_on_testicles;nipples_pressed_together,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,4,OVERLAP,BODY_PART,BODY_PART,FLUID_STATE_ACTION,REPRO,excessive_lactation;implied_lactation;male_lactation;projectile_lactation,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|IMPLEMENT_OBJECT|ANATOMY,4,OVERLAP,BODY_PART,BODY_PART,IMPLEMENT_OBJECT,ANATOMY,areola_piercing;nipple_piercing;scrotum_piercing;single_nipple_piercing,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|RESTRAINT_FETISH,4,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),RESTRAINT_FETISH,blindfold_down;blindfold_slip;torn_blindfold;unworn_blindfold,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,4,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,cuffs-to-collar;gag_around_neck;gag_under_mask;wraparound_tape_gag,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|NONE,4,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,RESTRAINT_IMPLEMENT,NONE,cuffs;gimp_suit;nub_chastity_cage;padlocked_chastity_cage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COLOR_APPEARANCE|DIRECT_COMPOSITE|ANATOMY,4,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,DIRECT_COMPOSITE,ANATOMY,lipstick_mark_on_anus;lipstick_mark_on_penis;lipstick_mark_on_pussy;lipstick_mark_on_testicles,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|ANATOMY,4,OVERLAP,POSE_MOVEMENT,POSE_MOVEMENT,CLOTHING_EXPOSURE,ANATOMY,arm_between_breasts;arm_under_breasts;arms_under_breasts;bouncing_breasts,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|STYLE_QUALITY_META|BODY_ATTRIBUTE|ANATOMY,4,OVERLAP,STYLE_QUALITY_META,STYLE_QUALITY_META,BODY_ATTRIBUTE,ANATOMY,bad_vulva;censored_anus;censored_nipples;censored_testicles,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|STYLE_QUALITY_META|RELATION_ROLE_CONTEXT|NONE,4,OVERLAP,STYLE_QUALITY_META,STYLE_QUALITY_META,RELATION_ROLE_CONTEXT,NONE,bara;change_in_common_sense;sexualized_chibi;virgin,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
SPECIAL_ONLY|(none)|(none)|ADULT_ROLE_DEVICE,4,SPECIAL_ONLY,(none),(none),(none),ADULT_ROLE_DEVICE,condom_filling;condoms;porn;prostitute,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
SPECIAL_ONLY|(none)|(none)|ANATOMY+RESTRAINT_FETISH,4,SPECIAL_ONLY,(none),(none),(none),ANATOMY+RESTRAINT_FETISH,leash_on_penis;penis_gag;pussy_clamp;pussy_clamps,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|(none)|INJURY,3,GENERAL_ONLY,(none),(none),(none),INJURY,iron_blood_(emblem);nightmare_blood_(idolmaster);tears_of_the_tarnished_blood_(e.g.o),BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|(none)|RESTRAINT_FETISH,3,GENERAL_ONLY,(none),(none),(none),RESTRAINT_FETISH,rope_train;sazae-san_food_gag_(meme);whip_the_wimp_girl!!_(project_sekai),BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|RESTRAINT_FETISH,3,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),RESTRAINT_FETISH,adjusting_collar;clothes_gag;vine_whip,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/INTIMATE|EXPOSURE_INTIMATE,3,GENERAL_ONLY,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),EXPOSURE_INTIMATE,cumdrip_onto_panties;licking_panties;presenting_removed_panties,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|EXPOSURE_INTIMATE,3,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,(none),EXPOSURE_INTIMATE,holding_bra;holding_panties;holding_underwear,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/ACCESSORY|EXPOSURE_INTIMATE,3,GENERAL_ONLY,CLOTHING/ACCESSORY,CLOTHING,(none),EXPOSURE_INTIMATE,contrast_trim_panties;o-ring_bra;o-ring_panties,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
