runtime_identity,runtime_is_general,runtime_is_special,source_identity_count,source_identities,special_ids,special_tags,chosen_canonical_tags,old_semantic_classes,final_sexual_intent,final_review_status,review_reason,mapping_quality,reviewer_action
thighhighs,YES,YES,5,naked_thighhighs|nude_thighhighs|thighhigh|thighhighs|thighhighs_only,2528|2529|2634|2635,naked thighhighs|nude thighhighs|thighhigh|thighhighs only,thighhighs,CONTEXTUAL|NON_SEXUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,thigh-high clothing is ordinary fashion and erotic display but naked qualifiers are not equivalent,SUSPECT,NEEDS_CANONICAL_FIX
tied_up_(nonsexual),YES,YES,2,tied_up|tied_up_(nonsexual),1954,tied up,tied_up_(nonsexual),CONTEXTUAL|NON_SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,canonical explicitly denotes nonsexual restraint,VALID,RESOLVED
top-down_bottom-up,YES,YES,6,ass-up_head-down|face-down_ass-up|face_down_ass_up|top-down-bottom-up|top-down_bottom-up|top_down_bottom_up,134|1610|1611|1612|1613|1614,ass-up head-down|face down ass up|face-down ass-up|top down bottom up|top-down bottom-up|top-down-bottom-up,top-down_bottom-up,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,pose can be ordinary physical positioning or sexualized display,VALID,RESOLVED
top/bottom_dynamic_annotated,YES,YES,3,bottom_(sexual_preference)|top/bottom_dynamic_annotated|top_(sexual_preference),1539|1542,bottom (sexual preference)|top (sexual preference),top/bottom_dynamic_annotated,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,top and bottom preference denotes a sexual role,VALID,RESOLVED
tucked_money,YES,YES,2,money_in_cleavage|tucked_money,2602,money in cleavage,tucked_money,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,money in cleavage is a general gag or pose with erotic contexts,VALID,RESOLVED
tucked_penis,YES,YES,3,cock-tail|penis_tucking|tucked_penis,783|1421|1422,cock-tail|penis tucking|tucked penis,tucked_penis,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,penis tucking can be presentation or sexualized and cock-tail mapping is ambiguous,SUSPECT,NEEDS_CANONICAL_FIX
uncensored,YES,YES,3,descensored|uncensored|uncensoring,1578|1579|1693,descensored|uncensored|uncensoring,uncensored,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,uncensored content can be general art state or sexual nudity,VALID,RESOLVED
underboob,YES,YES,3,under_boob|underboob|underbreast,2174|2642|2643,under boob|underboob|underbreast,underboob,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,under-breast exposure has ordinary anatomy and erotic display contexts,VALID,RESOLVED
undressing,YES,YES,5,strip|stripping|taking_off_clothes|undress|undressing,2059|2779|2780|2782|2785,strip|stripping|taking off clothes|undress|undressing,undressing,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,undressing is ordinary clothing removal with substantial sexual use,VALID,RESOLVED
unworn_clothes,YES,YES,2,clothes_removed|unworn_clothes,2068,clothes removed,unworn_clothes,NON_SEXUAL|SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,unworn clothing is a general clothing state,VALID,RESOLVED
unworn_gag,YES,YES,2,gag_removed|unworn_gag,2518|2730,gag removed|unworn gag,unworn_gag,CONTEXTUAL|NON_SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,gag removal has safety or performance and sexual bondage contexts,VALID,RESOLVED
vaginal,YES,YES,3,vaginal|vaginal_penetration|vaginal_sex,541|542|546,vaginal|vaginal penetration|vaginal sex,vaginal,CONTEXTUAL|SEXUAL,CONTEXTUAL,HUMAN_REVIEWED,vaginal anatomy or descriptor has medical and sexual contexts,VALID,RESOLVED
vaginal_prolapse,YES,YES,2,uterine_prolapse|vaginal_prolapse,550|1787,uterine prolapse|vaginal prolapse,vaginal_prolapse,CONTEXTUAL|NON_SEXUAL,NON_SEXUAL,HUMAN_REVIEWED,prolapse is primarily a medical condition but uterine and vaginal mapping differ,SUSPECT,NEEDS_CANONICAL_FIX
voyeurism,YES,YES,2,voyeur|voyeurism,2153|2155,voyeur|voyeurism,voyeurism,CONTEXTUAL|SEXUAL,SEXUAL,HUMAN_REVIEWED,voyeurism denotes sexualized observation rather than ordinary looking,VALID,RESOLVED
