lane_local_index,review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
237,710,volleyball_net,YES,バレーボール用ネット,BROWSE_WORTHY,TOOL_OBJECT,CORE,スポーツ設備・物体として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
238,713,implied_pornography,YES,直接描写せずポルノ・性的行為を示唆する表現,BROWSE_WORTHY,ACTION_CONTACT,CORE,性的状況の示唆として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTIMATE""]",[],[],NO,,CHECKED,[],
239,716,chain_around_neck,YES,首の周囲に鎖が巻かれた状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,首周りの装着物として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
240,719,full_beard,YES,顔下部を広く覆う豊かなひげ,BROWSE_WORTHY,HAIR_FACE,CORE,顔の毛・外見として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
241,722,tokin_hat,YES,天狗などと関連する小型の箱形日本帽子・頭襟,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,帽子・頭部装飾として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,RESEARCHED,"[""https://tags.latent.moe/en/t/tokin_hat""]",Danbooru由来wiki記述で意味を確認
242,725,frozen,YES,人物・物体が凍結して氷漬けになった状態,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,凍結による状態変化として探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/posts/10891365?q=final_sword""]",breathing iceを受けた対象にfrozenが付く実例を確認
243,728,unconventional_maid,YES,通常のメイド服から外れたメイドテーマ衣装,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,メイドテーマの変則衣装として探すのが自然,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/maid_leotard?z=1""]",maid leotardがunconventional maidを含意することを確認
244,731,kagamine_len_(cosplay),YES,VOCALOIDの鏡音レンのコスプレ,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
245,734,silo,YES,穀物などを貯蔵する大型の塔状・筒状設備,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,農業・工業景観の設備として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
246,737,hippopotamus,YES,カバ,BROWSE_WORTHY,LIVING,CORE,動物として探すのが自然,,,,,,,"[""LIVING_NATURE/CREATURE""]",[],[],NO,,CHECKED,[],
247,740,bow-shaped_hair,YES,髪そのものがリボン・蝶結び状に形作られた髪型,BROWSE_WORTHY,HAIR_FACE,CORE,髪型・髪の形状として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
248,743,nipple_clamps,YES,乳首を挟むクランプ型の性具,BROWSE_WORTHY,TOOL_OBJECT,CORE,性具・器具として探すのが自然,BODY_SITE,SUPPORTING,乳首への作用を目的に探す意図も独立して成立,,,,"[""OBJECT_PROP/DAILY""]","[""BREAST_NIPPLE""]","[""BDSM_RESTRAINT""]",NO,,CHECKED,[],
249,746,mother_and_daughter,YES,母親と娘の組み合わせ,BROWSE_WORTHY,RELATION_ROLE,CORE,家族関係から探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
250,749,lifting_object,YES,物体を持ち上げている動作,BROWSE_WORTHY,ACTION_CONTACT,CORE,物を持ち上げる動作として探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
251,752,ok_sign_over_eye,YES,OKサインの指の輪を片目の前に置く仕草,BROWSE_WORTHY,ACTION_CONTACT,CORE,手指のジェスチャーとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
252,755,between_legs,YES,物体や身体部位が人物の両脚の間に位置する状態,BROWSE_WORTHY,COMPOSITION_CAMERA,CORE,脚の間という相対配置から探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://tags.latent.moe/en/t/between_legs""]",Danbooru由来wikiで物体または身体部位が脚間にある状態と確認
253,758,measurements,YES,身体寸法などの測定値・数値情報を示す表現,BROWSE_WORTHY,TEXT_SYMBOL,CORE,数値・測定情報として探すのが自然,,,,,,,"[""TEXT_SYMBOL/TEXT""]",[],[],NO,,CHECKED,[],
254,761,soiled_diaper,YES,汚れたおむつ,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,おむつという着用品の状態から探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
255,764,dragon_(arms),YES,ゲームARMSに登場するドラゴン型ARM,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.org/index.php?id=3527389&page=post&s=view""]",ARMS作品・Min Minと併記される作品固有要素を確認
256,767,earphones_removed,YES,イヤホンを耳から外した状態,BROWSE_WORTHY,ACTION_CONTACT,CORE,イヤホンを外す動作・状態として探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
257,770,carhop,YES,ドライブインで車まで料理を運び接客する給仕,BROWSE_WORTHY,RELATION_ROLE,CORE,職業・役割として探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://www.vocabulary.com/dictionary/carhop""]",職業語の意味を確認
258,773,argentinian_flag_print,YES,アルゼンチン国旗柄のプリント,BROWSE_WORTHY,TEXT_SYMBOL,CORE,国旗記号のプリントとして探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
259,776,voile,YES,東方Projectで紅魔館の図書館を指す検索用呼称,MIXED,SCENE_BACKGROUND,CORE,図書館という場所・背景から探す意図が成立,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://shima.donmai.us/forum_topics/9233""]",公式名ではないがDanbooruではTouhouのlibrary検索として使われることを確認
260,779,yakitori,YES,焼き鳥,BROWSE_WORTHY,TOOL_OBJECT,CORE,食べ物として探すのが自然,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
261,782,fried_rice_prank_(meme),YES,巨大な炒飯を鍋で返しているように見せたネット上のいたずら画像ミーム,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.org/index.php?id=4957857&page=history&type=tag_history"",""https://time.com/5513048/rice-photo-prank/""]",ミーム固有参照として確認
262,785,taut_sweater,YES,身体に張って強く伸びたセーター,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の張り・着用状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
263,788,full-length_zipper,YES,衣服などの全長にわたる長いファスナー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の構造・ディテールとして探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
264,791,raised_eyebrows,YES,眉を上げた表情,BROWSE_WORTHY,EXPRESSION_GAZE,CORE,表情・眉の形として探すのが自然,,,,,,,"[""EXPRESSION_EMOTION/""]",[],[],NO,,CHECKED,[],
265,794,double_popsicle,YES,2本がつながった形のアイスキャンディー,BROWSE_WORTHY,TOOL_OBJECT,CORE,食べ物として探すのが自然,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
266,797,cerberus,YES,ギリシャ神話の多頭の冥界の番犬ケルベロス,BROWSE_WORTHY,LIVING,CORE,神話上の生物として探すのが自然,,,,,,,"[""LIVING_NATURE/CREATURE""]",[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Cerberus""]",一般概念として多頭の冥界の番犬を確認
267,800,traum_(fate/grand_order),YES,Fate/Grand Orderの作品固有参照Traum,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
268,803,monstera_deliciosa,YES,観葉植物モンステラ・デリシオーサ,BROWSE_WORTHY,LIVING,CORE,植物として探すのが自然,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
269,806,cock_and_ball_torture,YES,陰茎と睾丸に苦痛・拘束を加えるBDSM行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,性的BDSM行為として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTIMATE""]","[""MALE_GENITAL""]","[""BDSM_RESTRAINT""]",NO,,CHECKED,[],
270,809,bird_skull,YES,鳥の頭蓋骨,BROWSE_WORTHY,TOOL_OBJECT,CORE,骨格標本・物体として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
271,812,suspicious_egg_dish,YES,不審・怪しげな卵料理を題材にしたミーム表現,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://pixai.art/es/artwork/1745932263553840504""]",memeタグと併用される固有ミーム用例を確認
272,815,against_locker,YES,人物がロッカーに寄りかかる・押し付けられる配置,BROWSE_WORTHY,POSE_POSITION,CORE,身体とロッカーの位置関係・姿勢として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
273,818,dirt,YES,土・泥・汚れ,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,地面や背景の土・汚れとして探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
274,821,math_lady_(meme),YES,数式に囲まれて困惑する女性の画像ミーム,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Math_Lady""]",ブラジルのドラマ由来のMath Ladyミームを確認
275,824,australian_flag,YES,オーストラリア国旗,BROWSE_WORTHY,TEXT_SYMBOL,CORE,国旗・記号として探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
276,827,pet_walking,YES,ペットを連れて散歩する行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,動物との行動・散歩として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,CHECKED,[],
277,830,tape_maebari,YES,テープで陰部を覆う前貼り,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,露出を覆う着用状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]","[""FEMALE_GENITAL""]",[],NO,,CHECKED,[],
278,833,lit_fuse,YES,火がついて燃えている導火線,BROWSE_WORTHY,TOOL_OBJECT,CORE,物体・道具の状態として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
279,836,holding_television,YES,テレビを持っている状態,BROWSE_WORTHY,ACTION_CONTACT,CORE,物体を持つ動作として探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
280,839,brown_background,YES,茶色の背景,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,背景色・背景として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
281,842,vectors,YES,ベクター図形・方向を示す矢印状の視覚表現,BROWSE_WORTHY,TEXT_SYMBOL,CORE,図形・記号表現として探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
282,845,harpoon,YES,銛・ハープーン,BROWSE_WORTHY,TOOL_OBJECT,CORE,武器・道具として探すのが自然,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,CHECKED,[],
283,848,wine_bottle,YES,ワインボトル,BROWSE_WORTHY,TOOL_OBJECT,CORE,容器・小道具として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
284,851,negai_wa_itsuka_asa_wo_koete_(project_sekai),YES,Project SEKAIの作品固有衣装・カード系列「願いは、いつか朝をこえて」,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://tbib.org/index.php?id=11566379&page=post&s=view""]",Project SEKAI・official alternate costumeと併記される作品固有系列を確認
285,854,shield_print,YES,盾の図柄・プリント,BROWSE_WORTHY,TEXT_SYMBOL,CORE,盾を象った記号・プリントとして探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
286,857,gladiolus,YES,グラジオラスの花,BROWSE_WORTHY,LIVING,CORE,植物・花として探すのが自然,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
287,860,tomato_juice,YES,トマトジュース,BROWSE_WORTHY,TOOL_OBJECT,CORE,飲食物として探すのが自然,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
288,863,public_nudity,YES,公共の場所で裸体を晒す状況,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,公共空間での裸体・露出として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
289,866,cropped_head,YES,構図上で頭部の一部または全部が画面外に切れた状態,BROWSE_WORTHY,COMPOSITION_CAMERA,CORE,画面の切り取り方として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
290,869,vortex_vanquisher_(genshin_impact),YES,原神の長柄武器「破天の槍」,MIXED,TOOL_OBJECT,CORE,武器の外見・小道具として探す意図が成立,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,CHECKED,[],作品固有名検索も自然
291,872,hand_on_own_stomach,YES,自分の腹部に手を置く仕草,BROWSE_WORTHY,ACTION_CONTACT,CORE,身体への手の接触・仕草として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
292,875,plaid_bra,YES,チェック柄のブラジャー,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,下着として探すのが自然,COLOR_PATTERN_SHAPE,SUPPORTING,チェック柄自体から探す意図も成立,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
293,878,movie_theater,YES,映画館,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,場所・背景として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
294,881,okina's_natural_hair_color,YES,摩多羅隠岐奈の本来の髪色を描く作品固有属性,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
295,884,two_side_up_with_braided_base,YES,編み込みを土台にしたツーサイドアップ髪型,BROWSE_WORTHY,HAIR_FACE,CORE,髪型として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
296,887,imminent_vaginal,YES,膣性交が今にも始まりそうな直前状況,BROWSE_WORTHY,ACTION_CONTACT,CORE,性的行為の直前状況として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTIMATE""]","[""FEMALE_GENITAL""]",[],NO,,CHECKED,[],
297,890,jigen_daisuke_(cosplay),YES,ルパン三世の次元大介のコスプレ,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
298,893,alternate_eyewear,YES,キャラクターが通常とは異なる眼鏡・アイウェアを着用した状態,MIXED,CLOTHING_EXPOSURE,CORE,眼鏡・顔周りの装飾として探す意図が成立,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
299,896,frilled_leotard,YES,フリル装飾の付いたレオタード,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
300,899,pebble,YES,小石,BROWSE_WORTHY,TOOL_OBJECT,CORE,小物・自然物として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
301,902,league_card,YES,ポケットモンスター ソード・シールドのリーグカード,MIXED,TOOL_OBJECT,CORE,カード状の小物として探す意図が成立,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
302,905,braided_beard,YES,編み込んだひげ,BROWSE_WORTHY,HAIR_FACE,CORE,ひげの髪型・外見として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
303,908,reaching,YES,手や腕を対象へ伸ばす動作,BROWSE_WORTHY,ACTION_CONTACT,CORE,手を伸ばす動作として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
304,911,two-tone_apron,YES,2色配色のエプロン,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
305,914,pussy_cutout,YES,女性器部分を露出させる衣服の切り抜き,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の露出構造として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]","[""FEMALE_GENITAL""]",[],NO,,CHECKED,[],
306,917,candy_heart,YES,ハート形のキャンディ,BROWSE_WORTHY,TOOL_OBJECT,CORE,菓子として探すのが自然,COLOR_PATTERN_SHAPE,SUPPORTING,ハート形状から探す意図も成立,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
307,920,soil,YES,土壌・土,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,地面・背景の土として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
308,923,x_(symbol),YES,X字の記号,BROWSE_WORTHY,TEXT_SYMBOL,CORE,記号として探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
309,926,metal_bracelet,YES,金属製のブレスレット,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,装身具として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
310,929,wet_socks,YES,濡れた靴下,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の濡れた状態として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
311,932,mismatched_sclera,YES,左右で色などが異なる強膜,BROWSE_WORTHY,HAIR_FACE,CORE,目の外見特徴として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
312,935,no_symbol_tattoo,YES,禁止マークを模したタトゥー,BROWSE_WORTHY,TEXT_SYMBOL,CORE,記号意匠として探すのが自然,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,CHECKED,[],
313,938,see-through_pelvic_curtain,YES,透ける前垂れ・ペルビックカーテン,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,透けた衣服・露出状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
314,941,kel-tec_rfb,YES,Kel-Tec製RFBブルパップ式半自動ライフル,BROWSE_WORTHY,TOOL_OBJECT,CORE,銃器・武器として探すのが自然,,,,,,,"[""OBJECT_PROP/WEAPON""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/rifle""]",Danbooru rifle wikiでkel-tec_rfbがrifleを含意することを確認
315,944,kakyoin_noriaki's_pose,YES,花京院典明に由来する特徴的なポーズ,MIXED,POSE_POSITION,CORE,固有元を知らなくても身体ポーズとして探す意図が成立,,,,,,,[],[],[],NO,,CHECKED,[],
316,947,giving_flower,YES,相手に花を渡す行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,対人の受け渡し動作として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,CHECKED,[],
317,950,fern,YES,シダ植物,BROWSE_WORTHY,LIVING,CORE,植物として探すのが自然,,,,,,,"[""LIVING_NATURE/PLANT""]",[],[],NO,,CHECKED,[],
318,953,volumetric_flask,YES,メスフラスコ,BROWSE_WORTHY,TOOL_OBJECT,CORE,実験器具として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
319,956,christmas_star,YES,クリスマス装飾の星,BROWSE_WORTHY,TOOL_OBJECT,CORE,装飾小物として探すのが自然,TEXT_SYMBOL,SUPPORTING,星記号・形状から探す意図も成立,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
320,959,kenmyouren_(fate),YES,Fateシリーズの作品固有キャラクター・存在「顕妙連」,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://www.seaart.ai/explore/detail/d20880f0fa4f1d8e29eb056cfc83eac0""]",Fateタグ・人物描写との併用例を確認したが作品固有名検索が自然
321,962,space_phantas-moon_another_christmas,YES,Fate/Grand OrderのPhantas-Moon関連クリスマス衣装・作品固有要素,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.org/index.php?id=6327407&page=post&s=view""]",FGO・Phantas-Moon・Christmasと併記される作品固有タグを確認
322,965,flaming_head,YES,頭部が炎に包まれた・炎そのものになった外見,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,頭部の非通常な変化として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
323,968,mig-29,YES,MiG-29戦闘機,BROWSE_WORTHY,TOOL_OBJECT,CORE,航空機・乗り物として探すのが自然,,,,,,,"[""OBJECT_PROP/VEHICLE""]",[],[],NO,,CHECKED,[],
324,971,ogre,YES,鬼・オーガ型の人外生物,BROWSE_WORTHY,LIVING,CORE,人外生物として探すのが自然,,,,,,,"[""LIVING_NATURE/CREATURE""]",[],[],NO,,CHECKED,[],
325,974,frilled_jacket,YES,フリル装飾の付いたジャケット,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
326,977,ten_of_diamonds,YES,ダイヤの10のトランプ札,BROWSE_WORTHY,TOOL_OBJECT,CORE,カード・小物として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
327,980,toilet_use,YES,トイレを使用している行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,設備を使う行為として探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
328,983,guqin,YES,中国の伝統的な撥弦楽器・古琴,BROWSE_WORTHY,TOOL_OBJECT,CORE,楽器という物体から探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
329,986,1997,YES,西暦1997年を示す年・時代参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
330,989,hole_in_wall,YES,壁に開いた穴,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,壁面・背景の構造として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
331,992,high_collar,YES,首元が高い襟,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の襟形状として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
332,995,summer_festival,YES,夏祭りの場面・行事,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,祭りという場面設定から探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
333,998,shaving,YES,毛を剃る行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,身体に対する剃毛動作として探すのが自然,,,,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,CHECKED,[],
334,1001,gazelle_ears,YES,ガゼルの耳を持つ外見,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,動物耳による人外的外見変化として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
335,1004,poll,YES,投票・アンケート由来の参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
336,1007,overhead_line,YES,架空電線・架線,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,屋外景観の設備として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
337,1010,castrol,YES,自動車用潤滑油などのブランドCastrol,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/forum_topics/33260""]",Danbooru forumでCastrolが自動車・工業用潤滑油メーカーとして扱われることを確認
338,1013,lace_dress,YES,レース素材・装飾のドレス,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服として探すのが自然,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,CHECKED,[],
339,1016,between_labia,YES,陰唇の間に物や身体部位が位置する状態,BROWSE_WORTHY,BODY_SITE,CORE,女性器の具体的位置関係から探すのが自然,,,,,,,[],"[""FEMALE_GENITAL""]",[],NO,,CHECKED,[],
340,1019,character_hat,YES,キャラクターの顔や意匠を模した帽子,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,帽子・装身具として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/posts/10439621""]",Danbooru掲載例でcharacter hatが一般タグとして帽子類と併用されることを確認
341,1022,snow_leopard_girl,YES,ユキヒョウ要素を持つ少女・獣人,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,動物要素を持つ人外化表現として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
342,1025,bandeau_lift,YES,バンドゥ型衣服を持ち上げる状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服を持ち上げた露出状態として探すのが自然,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
343,1028,recording_audio,YES,音声を録音している行為,BROWSE_WORTHY,ACTION_CONTACT,CORE,録音という作業・動作から探すのが自然,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
344,1031,if_happiness_is_a_circle_(meme),YES,「if happiness is a circle」と呼ばれるミーム構図・ネタ,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.org/index.php?id=6465589&page=post&s=view""]",Safebooru掲載例でmemeタグと併用される固有ミーム名であることを確認
345,1034,curious,YES,好奇心を示す表情・様子,BROWSE_WORTHY,EXPRESSION_GAZE,CORE,感情・表情として探すのが自然,,,,,,,"[""EXPRESSION_EMOTION/""]",[],[],NO,,CHECKED,[],
346,1037,cutlery,YES,ナイフ・フォーク・スプーン等の食卓用具,BROWSE_WORTHY,TOOL_OBJECT,CORE,日用品・食器として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,CHECKED,[],
347,1040,playboy_bunny_vest,YES,プレイボーイバニー衣装のベスト,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,コスチューム衣装として探すのが自然,,,,,,,"[""CLOTHING/COSTUME""]",[],[],NO,,CHECKED,[],
348,1043,royal_air_force,YES,英国王立空軍（Royal Air Force）への参照,SEARCH_ORIENTED,,,,,,,,,,[],[],[],NO,,CHECKED,[],
349,1046,yellow_armband,YES,黄色い腕章,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,腕に着ける装身具として探すのが自然,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
350,1049,low_horns,YES,頭部の低い位置から生える角,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,角による人外的外見特徴として探すのが自然,,,,,,,[],[],[],NO,,CHECKED,[],
351,1052,pop-up_pirate,YES,TOMYの樽に剣を差し込む玩具ゲーム「Pop-up Pirate」,BROWSE_WORTHY,TOOL_OBJECT,CORE,玩具・ゲーム用の物体として探すのが自然,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,RESEARCHED,"[""https://en.wikipedia.org/wiki/Pop-up_Pirate""]",Pop-up PirateがTOMY製の子供向けゲームであることを確認
352,1055,exposed_guts,YES,内臓が露出している状態,BROWSE_WORTHY,BODY_SITE,CORE,露出した内臓という身体状態から探すのが自然,,,,,,,[],[],"[""INJURY_R18G""]",NO,,CHECKED,[],
