semantic_id,special_id,semantic_term,ja_label,en_concept,candidate_canonical,relation_type,notes,review_status
SEM0205,1703,hardcore,ハードコアな成人向けを示す語,hardcore,,UNMAPPED,ハードコアな成人向けを示す語（hardcore）,UNREVIEWED
SEM0206,1704,hardcore sex,露骨な性交,hardcore sex,,UNMAPPED,露骨な性交（hardcore sex）,UNREVIEWED
SEM0207,1705,hentai,成人向けアニメ・漫画系の俗称,hentai,,UNMAPPED,成人向けアニメ・漫画系の俗称（hentai）,UNREVIEWED
SEM0208,1706,hentai style,成人向けアニメ調を示す俗語,hentai style,,UNMAPPED,成人向けアニメ調を示す俗語（hentai style）,UNREVIEWED
SEM0209,1707,lewd,性的・わいせつ寄り,lewd,,UNMAPPED,性的・わいせつ寄り（lewd）,UNREVIEWED
SEM0210,1708,lewd content,性的・わいせつ寄りの内容,lewd content,,UNMAPPED,性的・わいせつ寄りの内容（lewd content）,UNREVIEWED
SEM0211,1709,nsfw,成人向け・職場閲覧不適切を示す一般的な分類語,nsfw,,UNMAPPED,成人向け・職場閲覧不適切を示す一般的な分類語（nsfw）,UNREVIEWED
SEM0212,1710,porn,ポルノ・露骨な成人向け,porn,,UNMAPPED,ポルノ・露骨な成人向け（porn）,UNREVIEWED
SEM0213,1711,porno,ポルノの俗称,porno,,UNMAPPED,ポルノの俗称（porno）,UNREVIEWED
SEM0214,1712,pornographic,ポルノ的,pornographic,,UNMAPPED,ポルノ的（pornographic）,UNREVIEWED
SEM0215,1713,r-18,18禁・成人向け,r-18,,UNMAPPED,18禁・成人向け（r-18）,UNREVIEWED
SEM0216,1714,r18,18禁・成人向け,r18,,UNMAPPED,18禁・成人向け（r18）,UNREVIEWED
SEM0217,1715,sexually explicit,露骨な性的内容,sexually explicit,,UNMAPPED,露骨な性的内容（sexually explicit）,UNREVIEWED
SEM0218,1716,uncensored genitals,無修正の性器描写,uncensored genitals,,UNMAPPED,無修正の性器描写（uncensored genitals）,UNREVIEWED
SEM0219,1717,uncensored nudity,無修正の裸体,uncensored nudity,,UNMAPPED,無修正の裸体（uncensored nudity）,UNREVIEWED
SEM0220,1718,xxx,成人向け・ポルノを示す俗称,xxx,,UNMAPPED,成人向け・ポルノを示す俗称（xxx）,UNREVIEWED
SEM0221,1719,judas cradle,尖った台に跨らせる拷問・BDSM器具,judas cradle,,UNMAPPED,尖った台に跨らせる拷問・BDSM器具（judas cradle）,UNREVIEWED
SEM0222,1738,questionable,疑わしい・成人寄りのレーティング指定,questionable,,UNMAPPED,疑わしい・成人寄りのレーティング指定（questionable）,UNREVIEWED
SEM0223,1743,bj,フェラチオの略語。誤検知の可能性があるため文脈判定推奨,bj,,UNMAPPED,フェラチオの略語。誤検知の可能性があるため文脈判定推奨（bj）,UNREVIEWED
SEM0224,1744,piledriver,パイルドライバー体位,piledriver,,UNMAPPED,パイルドライバー体位（piledriver）,UNREVIEWED
SEM0225,1757,doggy,後背位を指す俗称。単独は犬の意味もあるので文脈判定,doggy,,UNMAPPED,後背位を指す俗称。単独は犬の意味もあるので文脈判定（doggy）,UNREVIEWED
SEM0226,1760,urethral,尿道関連,urethral,,UNMAPPED,尿道関連（urethral）,UNREVIEWED
SEM0227,1761,daisy chain,複数人が輪状・連鎖状に口淫等を行う性行為,daisy chain,,UNMAPPED,複数人が輪状・連鎖状に口淫等を行う性行為（daisy chain）,UNREVIEWED
SEM0228,1763,shit,糞便を指す俗語。一般的罵語でもあるので文脈判定,shit,,UNMAPPED,糞便を指す俗語。一般的罵語でもあるので文脈判定（shit）,UNREVIEWED
SEM0229,1764,guts,内臓,guts,,UNMAPPED,内臓（guts）,UNREVIEWED
SEM0230,1781,body mutilation,身体損壊,body mutilation,,UNMAPPED,身体損壊（body mutilation）,UNREVIEWED
SEM0231,1782,dismembered,身体が切断された状態,dismembered,,UNMAPPED,身体が切断された状態（dismembered）,UNREVIEWED
SEM0232,1783,exposed guts,内臓露出,exposed guts,,UNMAPPED,内臓露出（exposed guts）,UNREVIEWED
SEM0233,1784,gory,強い流血・グロ表現,gory,,UNMAPPED,強い流血・グロ表現（gory）,UNREVIEWED
SEM0234,1785,severed body parts,切断された身体部位,severed body parts,,UNMAPPED,切断された身体部位（severed body parts）,UNREVIEWED
SEM0235,1786,snuff,死・殺害と性的文脈を結びつける成人向け俗語,snuff,,UNMAPPED,死・殺害と性的文脈を結びつける成人向け俗語（snuff）,UNREVIEWED
SEM0236,1788,humbler,男性器・睾丸拘束用BDSM器具,humbler,,UNMAPPED,男性器・睾丸拘束用BDSM器具（humbler）,UNREVIEWED
SEM0237,1790,orchiectomy,精巣摘出。医療文脈もあるため性/グロとのAND,orchiectomy,,UNMAPPED,精巣摘出。医療文脈もあるため性/グロとのAND（orchiectomy）,UNREVIEWED
SEM0238,1793,hysterectomy,子宮摘出。医療文脈もあるため性/グロとのAND,hysterectomy,,UNMAPPED,子宮摘出。医療文脈もあるため性/グロとのAND（hysterectomy）,UNREVIEWED
SEM0239,1794,oophorectomy,卵巣摘出。医療文脈もあるため性/グロとのAND,oophorectomy,,UNMAPPED,卵巣摘出。医療文脈もあるため性/グロとのAND（oophorectomy）,UNREVIEWED
SEM0240,1795,salpingectomy,卵管摘出。医療文脈もあるため性/グロとのAND,salpingectomy,,UNMAPPED,卵管摘出。医療文脈もあるため性/グロとのAND（salpingectomy）,UNREVIEWED
SEM0241,1796,penetration,挿入,penetration,,UNMAPPED,挿入（penetration）,UNREVIEWED
SEM0242,1797,insert,挿入を示す語。単独では一般語なので文脈判定,insert,,UNMAPPED,挿入を示す語。単独では一般語なので文脈判定（insert）,UNREVIEWED
SEM0243,1798,penetrate,挿入・貫入を示す動詞。単独は文脈判定,penetrate,,UNMAPPED,挿入・貫入を示す動詞。単独は文脈判定（penetrate）,UNREVIEWED
SEM0244,1799,penetrated,挿入された状態,penetrated,,UNMAPPED,挿入された状態（penetrated）,UNREVIEWED
SEM0245,1800,milking device,搾乳・搾精系の装置,milking device,,UNMAPPED,搾乳・搾精系の装置（milking device）,UNREVIEWED
SEM0246,1801,mechanical restraints,機械式拘束。単独は文脈判定,mechanical restraints,,UNMAPPED,機械式拘束。単独は文脈判定（mechanical restraints）,UNREVIEWED
SEM0247,1802,vibe,バイブレーターの俗称。一般語でもあるため文脈判定,vibe,,UNMAPPED,バイブレーターの俗称。一般語でもあるため文脈判定（vibe）,UNREVIEWED
SEM0248,1803,load,射精量・精液を指す俗語。一般語でもあるため文脈判定,load,,UNMAPPED,射精量・精液を指す俗語。一般語でもあるため文脈判定（load）,UNREVIEWED
SEM0249,1804,spunk,精液の俗語。一般語の意味もあるため文脈判定,spunk,,UNMAPPED,精液の俗語。一般語の意味もあるため文脈判定（spunk）,UNREVIEWED
SEM0250,1808,coming,絶頂を指す俗語。一般語でもあるため文脈判定,coming,,UNMAPPED,絶頂を指す俗語。一般語でもあるため文脈判定（coming）,UNREVIEWED
SEM0251,1809,ass spread,臀部を開いて肛門周辺を見せる描写,ass spread,,UNMAPPED,臀部を開いて肛門周辺を見せる描写（ass spread）,UNREVIEWED
SEM0252,1810,bare ass,臀部露出,bare ass,,UNMAPPED,臀部露出（bare ass）,UNREVIEWED
SEM0253,1811,genitalia,性器全般,genitalia,,UNMAPPED,性器全般（genitalia）,UNREVIEWED
SEM0254,1812,genitals,性器全般,genitals,,UNMAPPED,性器全般（genitals）,UNREVIEWED
SEM0255,1845,chastity device,貞操器具,chastity device,,UNMAPPED,貞操器具（chastity device）,UNREVIEWED
SEM0256,1846,wartenberg wheel,皮膚上を転がす針付きローラー器具・ヴァーテンベルグホイール,wartenberg wheel,,UNMAPPED,皮膚上を転がす針付きローラー器具・ヴァーテンベルグホイール（wartenberg wheel）,UNREVIEWED
SEM0257,1855,mechanical tentacle,機械触手,mechanical tentacle,,UNMAPPED,機械触手（mechanical tentacle）,UNREVIEWED
SEM0258,1856,multiple tentacles,複数触手,multiple tentacles,,UNMAPPED,複数触手（multiple tentacles）,UNREVIEWED
SEM0259,1857,tentacle gagged,触手による口の拘束,tentacle gagged,,UNMAPPED,触手による口の拘束（tentacle gagged）,UNREVIEWED
SEM0260,1858,tentacle monster,触手怪物,tentacle monster,,UNMAPPED,触手怪物（tentacle monster）,UNREVIEWED
SEM0261,1859,tentacles in thighhighs,ニーハイ等の内側に触手が入り込む表現,tentacles in thighhighs,,UNMAPPED,ニーハイ等の内側に触手が入り込む表現（tentacles in thighhighs）,UNREVIEWED
SEM0262,1860,too many tentacles,非常に多数の触手が存在する描写,too many tentacles,,UNMAPPED,非常に多数の触手が存在する描写（too many tentacles）,UNREVIEWED
SEM0263,1861,tentacle play,触手を使う性的プレイ,tentacle play,,UNMAPPED,触手を使う性的プレイ（tentacle play）,UNREVIEWED
SEM0264,1892,mouth with tentacles,触手の塊の下にある口,mouth with tentacles,,UNMAPPED,触手の塊の下にある口（mouth with tentacles）,UNREVIEWED
SEM0265,1893,tentacle boy,触手を持つ男性キャラクター,tentacle boy,,UNMAPPED,触手を持つ男性キャラクター（tentacle boy）,UNREVIEWED
SEM0266,1894,tentacle over eye,目の上・周囲を覆う触手,tentacle over eye,,UNMAPPED,目の上・周囲を覆う触手（tentacle over eye）,UNREVIEWED
SEM0267,1945,bound elbows,肘を拘束した状態,bound elbows,,UNMAPPED,肘を拘束した状態（bound elbows）,UNREVIEWED
SEM0268,1946,bondage gear,拘束用具,bondage gear,,UNMAPPED,拘束用具（bondage gear）,UNREVIEWED
SEM0269,1947,hogtied,手足をまとめて縛る拘束,hogtied,,UNMAPPED,手足をまとめて縛る拘束（hogtied）,UNREVIEWED
SEM0270,1948,restraint device,拘束装置,restraint device,,UNMAPPED,拘束装置（restraint device）,UNREVIEWED
SEM0271,1949,restraint devices,複数の拘束装置,restraint devices,,UNMAPPED,複数の拘束装置（restraint devices）,UNREVIEWED
SEM0272,1971,fire play,火や熱を使うBDSM・温度プレイ,fire play,,UNMAPPED,火や熱を使うBDSM・温度プレイ（fire play）,UNREVIEWED
SEM0273,1972,ice play,氷や冷刺激を使うBDSM・温度プレイ,ice play,,UNMAPPED,氷や冷刺激を使うBDSM・温度プレイ（ice play）,UNREVIEWED
SEM0274,1973,trampling table,CBT系の拘束・苦痛器具,trampling table,,UNMAPPED,CBT系の拘束・苦痛器具（trampling table）,UNREVIEWED
SEM0275,1974,breath play,窒息・呼吸制限を伴う性的プレイ,breath play,,UNMAPPED,窒息・呼吸制限を伴う性的プレイ（breath play）,UNREVIEWED
SEM0276,1975,choking play,首絞めを伴う性的プレイ,choking play,,UNMAPPED,首絞めを伴う性的プレイ（choking play）,UNREVIEWED
SEM0277,1976,pain play,苦痛を性的刺激として扱うプレイ,pain play,,UNMAPPED,苦痛を性的刺激として扱うプレイ（pain play）,UNREVIEWED
SEM0278,1996,incontinence,失禁,incontinence,,UNMAPPED,失禁（incontinence）,UNREVIEWED
SEM0279,1997,wetting,失禁・尿で濡れる描写,wetting,,UNMAPPED,失禁・尿で濡れる描写（wetting）,UNREVIEWED
SEM0280,1998,golden shower play,他者への放尿を性的に扱う表現,golden shower play,,UNMAPPED,他者への放尿を性的に扱う表現（golden shower play）,UNREVIEWED
SEM0281,1999,pee play,尿を使う性的プレイ,pee play,,UNMAPPED,尿を使う性的プレイ（pee play）,UNREVIEWED
SEM0282,2000,piss play,尿を使う性的プレイ,piss play,,UNMAPPED,尿を使う性的プレイ（piss play）,UNREVIEWED
SEM0283,2001,urine play,尿を使う性的プレイ,urine play,,UNMAPPED,尿を使う性的プレイ（urine play）,UNREVIEWED
SEM0284,2002,watersport,尿を使う性的表現の単数形,watersport,,UNMAPPED,尿を使う性的表現の単数形（watersport）,UNREVIEWED
SEM0285,2006,cutaway,カットアウェイ・断面表示,cutaway,,UNMAPPED,カットアウェイ・断面表示（cutaway）,UNREVIEWED
SEM0286,2007,internal view,内部視点,internal view,,UNMAPPED,内部視点（internal view）,UNREVIEWED
SEM0287,2008,x-ray view,X線視点,x-ray view,,UNMAPPED,X線視点（x-ray view）,UNREVIEWED
SEM0288,2009,cross section view,断面表示,cross section view,,UNMAPPED,断面表示（cross section view）,UNREVIEWED
SEM0289,2010,cutaway view,内部を切り開いて見せる表示,cutaway view,,UNMAPPED,内部を切り開いて見せる表示（cutaway view）,UNREVIEWED
SEM0290,2011,internal anatomy,内部解剖・体内描写,internal anatomy,,UNMAPPED,内部解剖・体内描写（internal anatomy）,UNREVIEWED
SEM0291,2012,womb view,子宮内部の表示,womb view,,UNMAPPED,子宮内部の表示（womb view）,UNREVIEWED
SEM0292,2063,bikini pull,ビキニを引いてずらす,bikini pull,,UNMAPPED,ビキニを引いてずらす（bikini pull）,UNREVIEWED
SEM0293,2064,clothing removed,衣服を脱いだ／脱がされた状態,clothing removed,,UNMAPPED,衣服を脱いだ／脱がされた状態（clothing removed）,UNREVIEWED
SEM0294,2065,half naked,半裸,half naked,,UNMAPPED,半裸（half naked）,UNREVIEWED
SEM0295,2066,partially naked,部分的な裸体,partially naked,,UNMAPPED,部分的な裸体（partially naked）,UNREVIEWED
SEM0296,2067,partially nude,部分的な裸体,partially nude,,UNMAPPED,部分的な裸体（partially nude）,UNREVIEWED
SEM0297,2126,crotchless buruma,股部分が開いたブルマ,crotchless buruma,,UNMAPPED,股部分が開いたブルマ（crotchless buruma）,UNREVIEWED
SEM0298,2127,nipple ring dress,乳首リングを利用・強調したドレス,nipple ring dress,,UNMAPPED,乳首リングを利用・強調したドレス（nipple ring dress）,UNREVIEWED
SEM0299,2128,panties no,下着を着けていない状態,panties no,,UNMAPPED,下着を着けていない状態（panties no）,UNREVIEWED
SEM0300,2129,teddy,テディ型の一体型ランジェリー,teddy,,UNMAPPED,テディ型の一体型ランジェリー（teddy）,UNREVIEWED
SEM0301,2130,braless,ブラを着けていない状態,braless,,UNMAPPED,ブラを着けていない状態（braless）,UNREVIEWED
SEM0302,2131,open crotch,股部分が開いた衣服・下着,open crotch,,UNMAPPED,股部分が開いた衣服・下着（open crotch）,UNREVIEWED
SEM0303,2132,open cup,乳房部分が開いた衣服,open cup,,UNMAPPED,乳房部分が開いた衣服（open cup）,UNREVIEWED
SEM0304,2133,pantyless,下着なし,pantyless,,UNMAPPED,下着なし（pantyless）,UNREVIEWED
SEM0305,2134,see through,透け衣装・透け表現,see through,,UNMAPPED,透け衣装・透け表現（see through）,UNREVIEWED
SEM0306,2156,public exposure,公共空間での露出,public exposure,,UNMAPPED,公共空間での露出（public exposure）,UNREVIEWED
SEM0307,2157,voyeuristic,覗き・窃視的な描写,voyeuristic,,UNMAPPED,覗き・窃視的な描写（voyeuristic）,UNREVIEWED
SEM0308,2177,areolae,乳輪,areolae,,UNMAPPED,乳輪（areolae）,UNREVIEWED
SEM0309,2178,bra no,ブラを着けていない状態,bra no,,UNMAPPED,ブラを着けていない状態（bra no）,UNREVIEWED
SEM0310,2179,bra open,ブラを開いた状態,bra open,,UNMAPPED,ブラを開いた状態（bra open）,UNREVIEWED
SEM0311,2180,areola,乳輪。WAI/e621系Promptで色や形容詞を伴って使われることがあるが、医学・教育文脈もあるため単独はREVIEW,areola,,UNMAPPED,乳輪。WAI/e621系Promptで色や形容詞を伴って使われることがあるが、医学・教育文脈もあるため単独はREVIEW（areola）,UNREVIEWED
SEM0312,2187,breeding,繁殖・妊娠させる性的文脈。非性的用法もあるため文脈判定,breeding,,UNMAPPED,繁殖・妊娠させる性的文脈。非性的用法もあるため文脈判定（breeding）,UNREVIEWED
SEM0313,2188,breeding kink,妊娠・繁殖を性的嗜好として扱う俗語,breeding kink,,UNMAPPED,妊娠・繁殖を性的嗜好として扱う俗語（breeding kink）,UNREVIEWED
SEM0314,2189,uterus view,子宮内部の表示,uterus view,,UNMAPPED,子宮内部の表示（uterus view）,UNREVIEWED
SEM0315,2269,coat open,コートを開いた状態,coat open,,UNMAPPED,コートを開いた状態（coat open）,UNREVIEWED
SEM0316,2270,hoodie open,パーカーを開いた状態,hoodie open,,UNMAPPED,パーカーを開いた状態（hoodie open）,UNREVIEWED
SEM0317,2271,jacket open,ジャケットを開いた状態,jacket open,,UNMAPPED,ジャケットを開いた状態（jacket open）,UNREVIEWED
SEM0318,2272,kimono down,着物を肩などから下げた状態,kimono down,,UNMAPPED,着物を肩などから下げた状態（kimono down）,UNREVIEWED
SEM0319,2273,kimono open,着物を開いた状態,kimono open,,UNMAPPED,着物を開いた状態（kimono open）,UNREVIEWED
SEM0320,2274,pants no,ズボンを履いていない状態,pants no,,UNMAPPED,ズボンを履いていない状態（pants no）,UNREVIEWED
SEM0321,2275,shirt no,シャツを着ていない状態,shirt no,,UNMAPPED,シャツを着ていない状態（shirt no）,UNREVIEWED
SEM0322,2276,shoe pull,靴を引いて脱ぎかけた状態,shoe pull,,UNMAPPED,靴を引いて脱ぎかけた状態（shoe pull）,UNREVIEWED
SEM0323,2277,shorts open,ショートパンツを開いた状態,shorts open,,UNMAPPED,ショートパンツを開いた状態（shorts open）,UNREVIEWED
SEM0324,2278,towel open,タオルを開いて身体を露出,towel open,,UNMAPPED,タオルを開いて身体を露出（towel open）,UNREVIEWED
SEM0325,2351,child body,子供の体型を示す説明語。性的文脈とAND推奨,child body,,UNMAPPED,子供の体型を示す説明語。性的文脈とAND推奨（child body）,UNREVIEWED
SEM0326,2352,childlike,子供のような外見・特徴。性的文脈とAND推奨,childlike,,UNMAPPED,子供のような外見・特徴。性的文脈とAND推奨（childlike）,UNREVIEWED
SEM0327,2353,minor,未成年を示す語。一般語でもあるため性的文脈とのAND推奨,minor,,UNMAPPED,未成年を示す語。一般語でもあるため性的文脈とのAND推奨（minor）,UNREVIEWED
SEM0328,2354,preteen,10代前半未満を示す語,preteen,,UNMAPPED,10代前半未満を示す語（preteen）,UNREVIEWED
SEM0329,2355,teen,10代を示す語。単独ブロックではなく性的文脈とAND推奨,teen,,UNMAPPED,10代を示す語。単独ブロックではなく性的文脈とAND推奨（teen）,UNREVIEWED
SEM0330,2356,teenager,10代を示す語。性的文脈とAND推奨,teenager,,UNMAPPED,10代を示す語。性的文脈とAND推奨（teenager）,UNREVIEWED
SEM0331,2357,underage,未成年を示す語,underage,,UNMAPPED,未成年を示す語（underage）,UNREVIEWED
SEM0332,2361,crotch,股間,crotch,,UNMAPPED,股間（crotch）,UNREVIEWED
SEM0333,2375,young girl,若い少女を示す語,young girl,,UNMAPPED,若い少女を示す語（young girl）,UNREVIEWED
SEM0334,2379,schoolboy,男子生徒。単独は非性的なので性的文脈とAND推奨,schoolboy,,UNMAPPED,男子生徒。単独は非性的なので性的文脈とAND推奨（schoolboy）,UNREVIEWED
SEM0335,2380,young boy,若い少年を示す語,young boy,,UNMAPPED,若い少年を示す語（young boy）,UNREVIEWED
SEM0336,2788,sensitive,センシティブな内容のレーティング指定,sensitive,,UNMAPPED,センシティブな内容のレーティング指定（sensitive）,UNREVIEWED
