canonical_tag,post_count,aliases,adult_focused_relevance,decision,confidence,reason,evidence
dixies_uniform,66,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
centered_hair_bow,65,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
poryphone,65,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
puchisshu,64,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
back_double_bow,63,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
kiss_22_title,62,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
reimu's_growing_gohei_(meme),61,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
gameplay_glitch,60,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
james_day,60,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
kaiser_pmc_corruption,59,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
omari_(omori),59,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
triangle_hair_bun_with_corners_toward_head,58,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
bamboo_branch,57,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
nuanmao,57,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
angels_of_delusion_kfc_bag,56,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
patisserie_chuchu_uniform,56,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
art_styles_image_response,55,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
sock_tan,55,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,"Specific tan-line/body-appearance surface with fetish relevance, but existing Special already has broad tanlines; exact canonical belongs in General unless later evidence supports deep promotion.",pinned canonical snapshot + product-layer review
x-ray_electrocution,55,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
archer_summoning_day,54,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
mikagura_uniform_(new_link),54,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
black_bike_shorts,53,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,Ordinary clothing/color subtype; General freshness only.,pinned canonical snapshot + product-layer review
fake_television_screen,51,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
holding_pineapple,50,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
tea_party_militant_outfit_(blue_archive),50,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
