row_id,canonical_tag,category,category_name,post_count,display_ja,search_ja,translation_status,translation_note,risk_score,risk_flags,impact_tier,audit_bucket,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_posts,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,pattern_id,audit_round,approval_status
I70-035980,omori,3,Copyright,23416,OMORI,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,OMORI1000users入り | おもり,,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036076,cardcaptor_sakura,3,Copyright,11055,CCさくら,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,CCさくら | カードキャプターさくら,魔卡少女樱,,,,,,FIX_BOTH,カードキャプターさくら,CCさくら,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036077,tengen_toppa_gurren_lagann,3,Copyright,11032,グレンラガン,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,グレンラガン | 天元突破グレンラガン,,,,,,,FIX_BOTH,天元突破グレンラガン,グレンラガン,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036078,onii-chan_wa_oshimai!,3,Copyright,11028,おにまい,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,おにまい | おにまいお絵描き | お兄ちゃんはおしまい | お兄ちゃんはおしまい!,,,,,,,FIX_BOTH,お兄ちゃんはおしまい！,おにまい,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036080,atelier_(series),3,Copyright,10890,アトリエ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,アトリエ | アトリエシリーズ | アトリ絵,,,,,,,FIX_BOTH,アトリエシリーズ,アトリエ,COPYRIGHT_SERIES_NAME,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036086,heaven_burns_red,3,Copyright,10446,ヘブバン,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ヘブバン | ヘブバンイラコン | ヘブバンイラコンFA | ヘブバングッズ | ヘブンバーンズレッド,浴火天国 | 炽焰天穹 | 緋染天空 | 红烧天堂 | 绯染天空,,,,,,FIX_BOTH,ヘブンバーンズレッド,ヘブバン,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036087,axis_powers_hetalia,3,Copyright,10399,にょたりあ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,にょたりあ | ヘタリア | 刀剣ヘタ,黑塔利亚,,,,,,FIX_DISPLAY,ヘタリア,,REMOVE_DERIVATIVE_SUBTAG_AS_DISPLAY,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036088,girls'_frontline_2:_exilium,3,Copyright,10364,ドルフロ2,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ドルフロ2 | ドルフロ2:エクシリウム | ドルフロ2エクシリウム | ドールズフロントライン2 | ドールズフロントライン2:エクシリウム | ドールズフロントライン2エクシリウム,少前2 | 少前2:追放 | 少前2追放 | 少女前線2 | 少女前線2:追放 | 少女前線2追放 | 少女前线2 | 少女前线2:追放 | 少女前线2追放,,,,,,FIX_BOTH,ドールズフロントライン2：エクシリウム,ドルフロ2 | ドルフロ2：エクシリウム,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036089,lycoris_recoil,3,Copyright,10358,リコリコ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,リコリコ | リコリスリコイル | リコリス・リコイル,莉可丽丝,,,,,,FIX_BOTH,リコリス・リコイル,リコリコ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036091,pokemon_masters_ex,3,Copyright,10265,ポケマス,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ポケマス | ポケマスEX | ポケマスアート | ポケモンマスターズ | ポケモンマスターズEX,,,,,,,FIX_BOTH,ポケモンマスターズ EX,ポケマス | ポケマスEX,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036092,last_origin,3,Copyright,10036,ラスオリ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ラスオリ | ラストオリジン,,,,,,,FIX_BOTH,ラストオリジン,ラスオリ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036100,oshi_no_ko,3,Copyright,9405,【推しの子】,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,【推しの子】 | 推しの子,我推的孩子,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036101,undertale,3,Copyright,9284,あんだーてーる,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,あんだーてーる | アンダーテール | アンテプラス,Undertale夢,,,,,,FIX_BOTH,UNDERTALE,アンダーテール,OFFICIAL_ENGLISH_WITH_JA_SEARCH,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036102,steins;gate,3,Copyright,9250,シュタインズゲート,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,シュタインズゲート | シュタインズ・ゲート | シュタゲ,,,,,,,FIX_BOTH,シュタインズ・ゲート,シュタゲ,COPYRIGHT_ESTABLISHED_JA_NAME,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036104,a.i._voice,3,Copyright,9205,アイボス,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,アイボス,,,,,,,FIX_BOTH,A.I.VOICE,アイボス,OFFICIAL_ENGLISH_WITH_JA_SEARCH,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036106,panty_&_stocking_with_garterbelt,3,Copyright,9093,パンスト,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,パンスト | パンティ&ストッキングwithガーターベルト,吊带袜天使,,,,,,FIX_BOTH,パンティ＆ストッキングwithガーターベルト,パンスト,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036108,street_fighter_6,3,Copyright,9058,スト6,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,スト6 | ストVI | ストリートファイター6 | ストリートファイターVI,,,,,,,FIX_BOTH,ストリートファイター6,スト6 | ストVI,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036109,kobayashi-san_chi_no_maidragon,3,Copyright,9032,メイドラゴン,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,メイドラゴン | 小林さんちのメイドラゴン | 小林さんちのメイドラゴンS,小林家的龙女仆,,,,,,FIX_BOTH,小林さんちのメイドラゴン,メイドラゴン,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036110,aikatsu!_(series),3,Copyright,9018,アイカツ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,アイカツ | アイカツ!,偶像活动,,,,,,FIX_BOTH,アイカツ！,アイカツ,COPYRIGHT_SERIES_NAME,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036116,punishing:_gray_raven,3,Copyright,8680,パニグレ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,パニグレ | パニグレ意識 | パニシング:グレイレイヴン | パ二グレ,战双 | 战双:帕弥什 | 战双帕弥什,,,,,,FIX_BOTH,パニシング：グレイレイヴン,パニグレ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036118,love_live!_superstar!!,3,Copyright,8540,ハロー!!!ラブライブ!,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ハロー!!!ラブライブ! | ラブライブ!スーパースター!! | リエラ,Liella応援,,,,,,FIX_BOTH,ラブライブ！スーパースター!!,リエラ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036124,twisted_wonderland,3,Copyright,8375,ツイステ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_10_PERCENT,REVIEW_REQUIRED,,,,twst夢 | twst腐 twstファンアート | twstプラス | ツイステ | ツイステCPなし | ツイステッドワンダーランド | ツイステファンアート | ツイ腐テ | 腐向けツイステ | 腐向けツイステッドワンダーランド,,,,,,,FIX_BOTH,ディズニー ツイステッドワンダーランド,ツイステ | ツイステッドワンダーランド,COPYRIGHT_FULL_TITLE,MEDIUM,general_established,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036125,gundam_gquuuuuux,3,Copyright,8358,機動戦士ガンダムジークアクス,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_10_PERCENT,REVIEW_REQUIRED,,,,,機動戦士ガンダムジークアクス,,,,,,FIX_BOTH,機動戦士Gundam GQuuuuuuX,ジークアクス,COPYRIGHT_OFFICIAL_TITLE,HIGH,https://www.gundam.info/feature/gquuuuuux/,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036127,the_hundred_line_-last_defense_academy-,3,Copyright,8310,ハンドラ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_10_PERCENT,REVIEW_REQUIRED,,,,ハンドラ,,,,,,,FIX_BOTH,HUNDRED LINE -最終防衛学園-,ハンドラ,COPYRIGHT_OFFICIAL_TITLE,HIGH,https://hundred-line.com/,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036130,synthesizer_v,3,Copyright,8176,シンセサイザーv,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_10_PERCENT,REVIEW_REQUIRED,,,,,シンセサイザーv,,,,,,FIX_BOTH,Synthesizer V,シンセサイザーV,OFFICIAL_ENGLISH_WITH_JA_SEARCH,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
