row_id,canonical_tag,post_count,display_ja,search_ja,translation_status,translation_note,risk_flags,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_coverage,family_base_canonical,family_base_display_ja,has_stronger_ja_evidence
I70-019774,shiki_(yuureidoushi_(yuurei6214)),115,シキ（Yuureidoushi（Yuurei6214））,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,シキ（Yuureidoushi（Yuurei6214））,,original,0.991304,,,false
I70-019852,kagamine_len_(nt),114,鏡音レンNT,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,鏡音レンNT,,vocaloid,1.0,kagamine_len,鏡音レン,false
I70-019889,nishihara_tetsuya,114,西原tetsuya,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,西原tetsuya,,original,1.0,,,false
I70-020009,macne_nana,113,Mac音ナナ,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Mac音ナナ,,macne_series,0.91,,,false
I70-020080,arval_(fire_emblem),112,Arval（火の紋章）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Arval（火の紋章）,,fire_emblem,1.0,,,false
I70-020101,flametail_(sport_for_all)_(arknights),112,flametail（すべてのスポーツ）（arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,flametail（すべてのスポーツ）（arknights）,,arknights,1.0,flametail_(arknights),フレイムテイル,false
I70-020105,geegee_(granblue_fantasy),112,Geegee（Granblueファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Geegee（Granblueファンタジー）,,granblue_fantasy,1.0,,,false
I70-020164,ran_straherz,112,走ったstreherz,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,走ったstreherz,,original,1.0,,,false
I70-020319,ryu_(breath_of_fire_iv),111,ryuu（火の呼吸IV）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,"ryuu_(breath_of_fire_iv),ryu_iv",ryu iv | ryuu (breath of fire iv),,,ryuu（火の呼吸IV）,,breath_of_fire,1.0,,,false
I70-020321,salde_canarl_shellbrick_iii,111,サアルデ・カナール・シェルブリックIII世,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,サアルデ・カナール・シェルブリックIII世,,puyopuyo,1.0,,,false
I70-020430,lanmewko,110,Rumiちゃん絵,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Rumiちゃん絵,,original,0.5,,,false
I70-020472,sessyoin_kiara_(beast_iii/r),110,ビーストIII/R,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,sesshouin_kiara_(beast_iii/r),sesshouin kiara (beast iii/r),,,ビーストIII/R,,fate/grand_order,1.0,,,false
I70-020583,merlin_(camelot_&_co)_(fate),109,マーリン（Camelot＆Co）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,camelot_&_co,camelot & co,,,マーリン（Camelot＆Co）（運命）,,fate/grand_order,1.0,,,false
I70-020607,ping_myu_ring_(tandohark),109,ping myuリング（Tandohark）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ping myuリング（Tandohark）,핑뮤링,original,0.880734,,,false
I70-020670,aile-kun,108,AILEくん,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,AILEくん,,livejupiter_(2channel),1.0,,,false
I70-020694,dj_copy_and_paste,108,DJコピーと貼り付け,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,DJコピーと貼り付け,,honey_come_chatka!!,1.0,,,false
I70-020699,einar_(personal_ami),108,Einar（個人的なami）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Einar（個人的なami）,,original,1.0,,,false
I70-020712,heles_(summer)_(granblue_fantasy),108,Heles（夏）（グランブルーファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Heles（夏）（グランブルーファンタジー）,,granblue_fantasy,1.0,heles,ヘルエス,false
I70-020721,jk_mob-chan_(minami_aomori),108,モブJKちゃん,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,モブJKちゃん,,original,1.0,,,false
I70-020774,ps5_chan,108,PS5チャン,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,PS5チャン,,original,0.71134,,,false
I70-020800,thetis_(last_origin),108,MH-4テティス,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,mh-4_thetis,mh-4 thetis,,,MH-4テティス,,last_origin,1.0,,,false
I70-020805,unfezant_(male),108,Unfezant（男性）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Unfezant（男性）,,pokemon,1.0,unfezant,ケンホロウ,false
I70-020847,elemental_hero_neos,107,E・HEROネオス,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,E・HEROネオス,,yu-gi-oh!,1.0,,,false
I70-020854,gambier_bay_mk_ii_(kancolle),107,ガンビア・ベイMk.II(艦隊これくしょん),,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ガンビア・ベイMk.II(艦隊これくしょん),,kantai_collection,1.0,,,false
I70-020930,team_rainbow_rocket_grunt,107,RR団したっぱ,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,RR団したっぱ,,pokemon,1.0,,,false
I70-021032,nanika_wiz_mayura,106,何かwizまゆら,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,digital_witch_mayura,digital witch mayura,,,何かwizまゆら,,ukagaka,0.980198,,,false
I70-021058,silent_magician_lv4,106,サイレント・マジシャンLV4,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,サイレント・マジシャンLV4,,yu-gi-oh!,1.0,,,false
I70-021104,astesia_(frlibe_on_the_palace)_(arknights),105,Astesia（宮殿のfrlibre）（arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,astesia_(frlibre_on_the_palace)_(arknights),astesia (frlibre on the palace) (arknights),,,Astesia（宮殿のfrlibre）（arknights）,,arknights,1.0,astesia_(arknights),アステシア,false
I70-021200,ogre_(granblue_fantasy),105,Ogre（Granblueファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Ogre（Granblueファンタジー）,,granblue_fantasy,1.0,,,false
I70-021223,spamton_neo,105,スパムトンNEO,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,スパムトンNEO,,deltarune,1.0,,,false
I70-021304,imaizumi_kagerou_(wolf),104,imaizumi kagerou（ウルフ）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,imaizumi kagerou（ウルフ）,,touhou,1.0,imaizumi_kagerou,今泉影狼,false
I70-021330,libe_(hentai_elf_to_majime_orc),104,libe（ヘンタイエルフからマジームオーク）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,libe（ヘンタイエルフからマジームオーク）,,hentai_elf_to_majime_orc,1.0,,,false
I70-021392,voyager_(third_ascension)_(fate),104,Voyager（Third Ascension）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Voyager（Third Ascension）（運命）,,fate_(series),1.0,voyager_(fate),ボイジャー,false
I70-021394,academy_d.va,103,アカデミーD.VA,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,アカデミーD.VA,,overwatch,1.0,,,false
I70-021521,sawsbuck_(spring),103,Sawsbuck（春）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Sawsbuck（春）,,pokemon,1.0,sawsbuck,メブキジカ,false
I70-021565,amiya_(seedsower)_(arknights),102,amiya（プランター）（arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,"amiya_(planter)_(arknights),amiya_(seeder)_(arknights)",amiya (planter) (arknights) | amiya (seeder) (arknights),,,amiya（プランター）（arknights）,,arknights,1.0,amiya_(arknights),アーミヤ（アークナイツ）,false
I70-021766,futatsuiwa_mamizou_(tanuki),101,Futatsuiwa mamizou（田中）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Futatsuiwa mamizou（田中）,,touhou,1.0,futatsuiwa_mamizou,二ッ岩マミゾウ,false
I70-021934,estellise_sidos_heurassein_(campus_royalty),100,Estellise Sidos Heurassein（キャンパスロイヤルティ）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Estellise Sidos Heurassein（キャンパスロイヤルティ）,,tales_of_(series),1.0,estellise_sidos_heurassein,エステリーゼ・シデス・ヒュラッセイン,false
I70-021944,grizzly_mkv_(weekend_cop)_(girls'_frontline),100,週末SP,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,週末SP,,girls'_frontline,1.0,grizzly_mkv_(girls'_frontline),グリズリーMkV,false
I70-021986,ms._marvel_(carol_danvers),100,Ms.マーベル,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,Ms.マーベル,,marvel,0.988235,,,false
I70-022092,grady_sisters_(the_shining),99,Grady Sisters（輝く）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Grady Sisters（輝く）,,the_shining,0.882979,,,false
I70-022134,matsuoka_kiyone,99,松田kiyone,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,松田kiyone,,original,0.967391,,,false
I70-022288,officer_d.va,98,役員D.Va,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,役員D.Va,,overwatch,1.0,,,false
I70-022305,sawsbuck_(winter),98,Sawsbuck（冬）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Sawsbuck（冬）,,pokemon,1.0,sawsbuck,メブキジカ,false
I70-022315,shooting_star_d.va,98,シューティングスターd.va,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,シューティングスターd.va,,overwatch,1.0,,,false
I70-022347,zaku_ii_fz_kai,98,ザクII改,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ザクII改,,gundam,1.0,,,false
I70-022349,admiral_shinonome_harutora,97,Shinonome Harutora提督,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Shinonome Harutora提督,,kantai_collection,1.0,,,false
I70-022365,azki_(little_devil)_(hololive),97,AZKi生誕ライブ2026,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,AZKi生誕ライブ2026,,hololive,1.0,azki_(hololive),AZKi,false
I70-022460,savage_babe,97,野avなベイビー,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,野avなベイビー,,ragnarok_online,1.0,,,false
I70-022548,gundam_ez8,96,ガンダムEz8,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ガンダムEz8,,gundam,1.0,,,false
I70-022657,vf-1_super,96,VF-1スーパー,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,VF-1スーパー,,macross,0.989011,,,false
I70-022672,airi_(satosi),95,ビッチJKちゃんシリーズ,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,ビッチJKちゃんシリーズ,,original,1.0,,,false
I70-022783,rengoku_(first_ascension)_(fate),95,Rengoku（最初の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Rengoku（最初の昇天）（運命）,,fate/grand_order,1.0,rengoku_(fate),煉獄(Fate),false
I70-022789,ryuugen_drake,95,龍玄Drake,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,龍玄Drake,,indie_virtual_youtuber,1.0,,,false
I70-022819,tozaki_daijirou,95,toキロジロウ,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,toキロジロウ,,original,1.0,,,false
I70-022936,llamrei_(fate),94,llamrei（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,llamrei（運命）,,fate/grand_order,1.0,,,false
I70-022951,nanami_(virtuareal),94,七海nana7mi,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,七海nana7mi,,nijisanji,1.0,,,false
I70-023049,djeeta_(summer)_(granblue_fantasy),93,djeeta（夏）（グランブルーファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,djeeta（夏）（グランブルーファンタジー）,,granblue_fantasy,0.988889,djeeta_(granblue_fantasy),ジータ（グランブルーファンタジー）,false
I70-023086,korwa_(summer)_(granblue_fantasy),93,Korwa（夏）（Granblueファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Korwa（夏）（Granblueファンタジー）,,granblue_fantasy,1.0,korwa,コルワ,false
I70-023093,losse_(personal_ami),93,losse（パーソナルアミ）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,losse（パーソナルアミ）,,original,0.98913,,,false
I70-023149,senji_muramasa_(second_ascension)_(fate),93,Senji Muramasa（第二性性能）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Senji Muramasa（第二性性能）（運命）,,fate/grand_order,1.0,,,false
I70-023167,swire_(honor_and_splendor)_(arknights),93,Swire（名誉と素晴らしさ）（Arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Swire（名誉と素晴らしさ）（Arknights）,,arknights,1.0,swire_(arknights),スワイヤー,false
I70-023192,61cm_quadruple_torpedo_mount,92,61cm四連装魚雷,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,61cm四連装魚雷,,kantai_collection,1.0,,,false
I70-023207,atalanta_alter_(first_ascension)_(fate),92,Atalanta Alter（最初の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Atalanta Alter（最初の昇天）（運命）,,fate_(series),1.0,atalanta_alter_(fate),アタランテ〔オルタ〕,false
I70-023233,fuyumine_naoto,92,フイウミンnaoto,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,フイウミンnaoto,,dogs:_bullets_&_carnage,1.0,,,false
I70-023253,igarashi_daiji,92,池下daiji,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,池下daiji,,kamen_rider,1.0,,,false
I70-023329,shinonome_(cookie),92,SNNM姉貴,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,SNNM姉貴,,cookie_(touhou),1.0,,,false
I70-023333,shoko_(super_real_mahjong),92,Shoko（超本物のMahjong）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Shoko（超本物のMahjong）,,super_real_mahjong,1.0,,,false
I70-023476,noir_(noworld),91,No画,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,No画,,noworld,1.0,,,false
I70-023483,px4_storm_(girls'_frontline),91,Px4ストーム(少女前線),,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,px4_storm_(girls_frontline),px4 storm (girls frontline),,,Px4ストーム(少女前線),,girls'_frontline,1.0,,,false
I70-023625,lexington_ii_(azur_lane),90,レキシントンII,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,レキシントンII,,azur_lane,1.0,,,false
I70-023653,necrozma_(normal),90,necrozma（正常）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,necrozma（正常）,,pokemon,1.0,necrozma,ネクロズマ,false
I70-023747,betilla_(rayman),89,betilla（レイマン）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,betilla（レイマン）,,rayman_(series),1.0,,,false
I70-023800,istina_(bibliosmia)_(arknights),89,イスティナ（Bibliosmia）（Arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,イスティナ（Bibliosmia）（Arknights）,,arknights,1.0,istina_(arknights),イースチナ,false
I70-023817,kiracchu_(pri_chan),89,キラッCHU,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,キラッCHU,,pretty_series,1.0,,,false
I70-023848,mioto_(cookie),89,役立たずMOT,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,役立たずMOT,,cookie_(touhou),1.0,,,false
I70-023864,officer_vi,89,役員VI,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,役員VI,,league_of_legends,1.0,,,false
I70-023872,peppa_pig,89,Peppa豚,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Peppa豚,,peppa_pig_(series),0.967742,,,false
I70-023875,poppy_bros_jr,89,ポピーブロスJr.,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ポピーブロスJr.,,kirby_(series),1.0,,,false
I70-023918,xion_(trickcal),89,シオン・ザ・DB,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,シオン・ザ・DB,,trickcal,1.0,,,false
I70-023924,yui_(summer)_(princess_connect!),89,Yui（夏）（プリンセスコネクト！）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Yui（夏）（プリンセスコネクト！）,,princess_connect!,1.0,yui_(princess_connect!),ユイ,false
I70-024074,python_(fire_emblem),88,Python（火の紋章）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,paison,paison,,,Python（火の紋章）,,fire_emblem,1.0,,,false
I70-024138,ai_hyperion_lambda_(chrono_navi),87,AI・ハイペリオンΛ(クロノストラベラー),,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,AI・ハイペリオンΛ(クロノストラベラー),,honkai_(series),1.0,ai_hyperion_lambda,AI・ハイペリオンΛ,false
I70-024194,hms_orion_(siirakannu),87,HMSオリオン（siirakannu）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,HMSオリオン（siirakannu）,,original,0.949367,,,false
I70-024310,tamamo_no_mae_(tailmaid_strike)_(fate),87,Tamamo No Mae（Tailmaid Strike）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Tamamo No Mae（Tailmaid Strike）（運命）,,fate_(series),1.0,tamamo_no_mae_(fate),玉藻の前（Fate）,false
I70-024402,kivat-bat_iii,86,キバットバットIII世,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,キバットバットIII世,,kamen_rider,1.0,,,false
I70-024463,prowl_(transformers),86,Prowl（トランス）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Prowl（トランス）,,transformers,1.0,,,false
I70-024546,bowsette_jr.,85,クッパ姫Jr.,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,クッパ姫Jr.,,mario_(series),1.0,,,false
I70-024557,combattler_v_(robot),85,Combattler V（ロボット）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Combattler V（ロボット）,,choudenji_robo_combattler_v,1.0,,,false
I70-024586,gomeisa_(live_a_hero),85,gomeisa（ライブAヒーロー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,gomeisa（ライブAヒーロー）,,live_a_hero,0.988235,,,false
I70-024660,nanase_(namin),85,naminの星いもの,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,naminの星いもの,,original,1.0,,,false
I70-024824,imizu_(nitro_unknown)_(character),84,imizu（nitro unknown）（文字）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,imizu（nitro unknown）（文字）,,original,0.642857,,,false
I70-025140,pinecone_(sing_a_song)_(arknights),83,Pinecone（歌う歌）（Arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Pinecone（歌う歌）（Arknights）,,arknights,1.0,pinecone_(arknights),パインコーン,false
I70-025143,psycho_gundam_mk_ii,83,サイコガンダムMk-II,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,psyco_gundam_mk_ii,psyco gundam mk ii,,,サイコガンダムMk-II,,gundam,1.0,,,false
I70-025182,tusk_act4,83,タスクACT4,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,タスクACT4,,jojo_no_kimyou_na_bouken,1.0,,,false
I70-025231,dr._ratio_(academia)_(honkai:_star_rail),82,Dr.レイシオ(ナナシの勲功),,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Dr.レイシオ(ナナシの勲功),,honkai:_star_rail,1.0,dr._ratio_(honkai:_star_rail),Dr.レイシオ,false
I70-025394,ushiwakamaru_(third_ascension)_(fate),82,ushiwakamaru（第三の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ushiwakamaru（第三の昇天）（運命）,,fate/grand_order,1.0,,,false
I70-025417,baphomet_jr,81,バフォメットJr,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,バフォメットJr,,ragnarok_online,1.0,,,false
I70-025419,beargguy_iii,81,ベアッガイIII,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ベアッガイIII,,gundam,0.948052,,,false
I70-025475,hisaka_(cookie),81,HSK姉貴,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,HSK姉貴,,cookie_(touhou),1.0,,,false
I70-025567,rani_viii,81,ラニ=VIII,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ラニ=VIII,,fate_(series),1.0,,,false
I70-025629,amiya_(fresh_fastener)_(arknights),80,amiya（新鮮な留め具）（arknights）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,amiya（新鮮な留め具）（arknights）,,arknights,1.0,amiya_(arknights),アーミヤ（アークナイツ）,false
I70-025645,berkut_(fire_emblem),80,berkut（火の紋章）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,berkut（火の紋章）,,fire_emblem,1.0,,,false
I70-025898,cruiser_d.va,79,クルーザーD.Va,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,クルーザーD.Va,,overwatch,1.0,,,false
I70-026125,baltimore_(evening_breeze_minuet)_(azur_lane),78,夜風Minuet,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,夜風Minuet,,azur_lane,1.0,baltimore_(azur_lane),ボルチモア,false
I70-026139,d.va_(gremlin),78,D.VA（グレムリン）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,D.VA（グレムリン）,,overwatch,1.0,,,false
